date,location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,new_intensive_care_patients,new_ventilator_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients,cumulative_ventilator_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,wikidata_id,datacommons_id,openstreetmap_id,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm
1/9/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),-0.265432,-7.703704,11.876543,0.0635,64.77
1/10/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),10.203704,4.925926,16.450617,0.03175,78.74
1/11/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),16.993827,9.185185,22.969136,1.016,50.8
1/12/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),11.255556,5.461111,20.761111,14.2875,
1/13/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),5.395062,0.061728,15.32716,0.677333,
1/14/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),7.296296,0.5,13.345679,2.286,
1/15/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),6.901235,0.771605,15.580247,1.814286,
1/16/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),7.54321,-0.339506,15.376543,1.524,
1/17/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),-2.37037,-5.080247,0.364198,0.471714,
1/18/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),1.783951,-3.537037,9.098765,1.161143,
1/19/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),0.469136,-6.938272,10.117284,12.010571,
1/20/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),-7.709877,-9.67284,-3.722222,1.185333,
1/21/2020,US_WV_54021,US,United States of America,WV,West Virginia,54021,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,Q504842,geoId/54021,1913185,38.92,-80.85,POINT(-80.85 38.92),-6.253086,-10.123457,-1.95679,0.0635,30.48
